time,tetramm_4_current_1,mono_energy,mono_energy_setpoint,ring_current,offset
1743528327.7147362,633284.5273583212,20.99169347614325,20.99,120.04919124660265,166715.47264167876
1743528329.0049212,633550.5579638814,20.992173459134584,20.991,120.03190223754542,166449.4420361186
1743528330.2935014,634609.1443727374,20.990763110365556,20.991999999999997,120.01400978322465,165390.85562726262
1743528332.2061176,626446.4171691297,20.994876544246363,20.993,119.97924830017384,173553.5828308703
1743528333.4808176,624714.4816597011,20.99540838100532,20.994,119.94446601501056,175285.5183402989
1743528334.752109,628491.0636527841,20.993303352286485,20.994999999999997,119.92695629595411,171508.9363472159
1743528336.229797,624804.9329872791,20.99527541927823,20.996,119.90902371724746,175195.06701272086
1743528337.7093046,617457.0790930076,20.998031027447933,20.997,119.87462340783246,182542.9209069924
1743528338.9969115,617135.9242456885,20.998149246731323,20.997999999999998,119.85768341025033,182864.07575431152
1743528340.2808354,617027.6225956604,20.998304411569944,20.999,119.83959965100556,182972.3774043396
1743528341.556346,610701.6043405794,21.00043261893384,21.0,119.80490194115707,189298.39565942064
1743528342.8311412,610566.2591461524,21.00068389423458,21.000999999999998,119.78691847675985,189433.7408538476
1743528344.1080441,606569.8864561782,21.002236022611978,21.002,119.7690095431292,193430.11354382185
1743528345.395178,603052.6168476585,21.00298260452697,21.003,119.73522844461756,196947.38315234147
1743528346.672766,602394.4832436582,21.004076702058107,21.003999999999998,120.10501287536599,197605.5167563418
1743528347.9512408,599052.8612547916,21.004919530926273,21.005,120.08720071151967,200947.1387452084
1743528349.2370064,594077.6954912673,21.00602861979824,21.006,120.07009012728771,205922.30450873275
1743528350.5160997,590264.7695741141,21.006982530325956,21.006999999999998,120.03459693924712,209735.23042588588
1743528351.7944667,587139.0547898896,21.008025276264796,21.008,120.01672096722766,212860.9452101104
1743528353.0699568,583099.1173683229,21.009031143918794,21.009,119.99914099734984,216900.8826316771
1743528354.3549674,579720.9188075347,21.010000122630913,21.009999999999998,119.9646582741281,220279.08119246527
1743528355.6293888,577551.8933299473,21.01099138458908,21.011,119.94686687494497,222448.10667005274
1743528356.9113507,575764.5150020326,21.01187916161133,21.011999999999997,119.929726208109,224235.48499796737
1743528358.198187,570799.6829804509,21.013181370899222,21.012999999999998,119.91217276304033,229200.31701954908
1743528359.4779737,567582.484296309,21.01398793408854,21.014,119.87762199225409,232417.51570369105
1743528360.7557428,563645.9133328724,21.01507578294724,21.014999999999997,119.86023049073566,236354.08666712756
1743528362.0364158,562103.6367430891,21.01587509093914,21.016,120.29293739614548,237896.36325691093
1743528363.3123627,558377.3338373846,21.017000146400253,21.017,120.27462351884142,241622.6661626154
1743528364.5857472,552582.0360178249,21.018132725739605,21.017999999999997,120.24016231212339,247417.9639821751
1743528365.8660464,551329.0744978132,21.018687956474576,21.019,120.22284893733598,248670.92550218676
1743528367.142826,544252.7158850203,21.02025756805846,21.02,120.20507041681259,255747.28411497967
1743528368.421839,540805.1392231961,21.02082772112824,21.020999999999997,120.17047663295452,259194.86077680392
1743528369.6955538,535619.2509715445,21.02206439364205,21.022,120.15245947925106,264380.74902845547
1743528370.9740705,530130.5870629936,21.022997548688526,21.023,120.13495903899943,269869.41293700645
1743528372.2547722,524884.4924947486,21.024086334754642,21.023999999999997,120.11732173956494,275115.50750525144
1743528373.5412793,520280.0841598703,21.024893739062243,21.025,120.08262474317554,279719.9158401297
1743528374.821082,513173.18134006317,21.026123483648263,21.026,120.0647194064042,286826.81865993683
1743528376.097446,508381.64122211013,21.0269162269299,21.026999999999997,120.04774716203443,291618.35877788987
1743528377.3824115,499244.16771994124,21.028042470156347,21.028,120.01276996762303,300755.83228005876
1743528378.6668847,490918.50269915344,21.028983568941253,21.029,119.9952816907789,309081.49730084656
1743528379.9464855,482102.9697350758,21.02986546270156,21.029999999999998,119.97743584350982,317897.0302649242
1743528381.2250025,465914.058106285,21.03116991237385,21.031,119.96007586525849,334085.941893715
1743528382.5026102,456265.443491664,21.031807373038735,21.032,119.92511587539643,343734.556508336
1743528383.781664,432440.39716033515,21.033067583909027,21.032999999999998,119.90727358949457,367559.60283966485
1743528385.05273,408269.3617920328,21.034157417966195,21.034,119.88976099047932,391730.6382079672
1743528386.3355942,391738.8970006689,21.034898866516205,21.035,119.8550919234848,408261.1029993311
1743528387.6138704,362456.3215698337,21.03600372225971,21.035999999999998,119.83793837591035,437543.6784301663
1743528388.8935173,344162.9658444707,21.036901039887283,21.037,119.82055979669617,455837.0341555293
1743528390.1660163,321824.2454118065,21.03811736173065,21.038,119.80270819076152,478175.7545881935
1743528391.4472008,305858.4899893569,21.039022278160335,21.038999999999998,120.24484721641089,494141.5100106431
1743528392.7247553,292989.5791474708,21.039994037782947,21.04,120.22690459235099,507010.4208525292
1743528394.0050983,278925.03054516774,21.040936211440087,21.041,120.2096607075734,521074.96945483226
1743528395.2855608,261191.9228874036,21.042130742402342,21.041999999999998,120.1921316225712,538808.0771125964
1743528396.5646482,249717.7454010763,21.04296180081675,21.043,120.15722535473182,550282.2545989237
1743528397.8429601,235263.99557904137,21.044008137761516,21.044,120.13980948640842,564736.0044209587
1743528399.11801,224983.6267197374,21.044809658027763,21.044999999999998,120.12098249832438,575016.3732802626
1743528400.3948092,207088.06246834333,21.04604916658859,21.046,120.0880155469708,592911.9375316567
1743528401.6718385,190544.5369850225,21.047162622664057,21.047,120.06983357094028,609455.4630149775
1743528402.9453776,180762.39287552226,21.04784560094204,21.048,120.05165803605006,619237.6071244777
1743528404.2177742,162799.01988757707,21.049107743172957,21.049,120.03424144889198,637200.980112423
