time,bda_vert_size,bda_vert_size_user_setpoint,tetramm_1_current_1,ring_current
1743273332.22568,0.9000800000000001,0.9,-32.75926441596958,110.60079023350514
1743273334.197984,0.9011000000000001,0.901,-32.778905987600574,110.56654140571558
1743273336.7023077,0.9022000000000001,0.902,-32.79751297678314,110.6523351599182
1743273338.9861403,0.90324,0.903,-32.84159953855837,110.61873489855846
1743273341.372683,0.9042500000000001,0.904,-32.73912670960975,110.58582477123358
1743273343.8130245,0.9053800000000001,0.905,-32.72543041131403,110.53514488405013
1743273346.2007065,0.9062300000000001,0.906,-32.627164745267926,110.31110447602778
1743273348.5892475,0.9073000000000001,0.907,-32.68363441269694,110.26199625049664
1743273350.8741455,0.90827,0.908,-32.730844388420884,110.22856942160622
1743273353.2551396,0.9092600000000001,0.909,-32.6811173856388,110.19522644479699
1743273355.5372744,0.91024,0.91,-32.549760278146245,110.38956238479177
1743273357.9285007,0.9112800000000001,0.911,-32.659591395975575,110.355413175454
1743273360.3192768,0.91227,0.912,-32.73479081985918,110.32352503203555
1743273362.8145924,0.91327,0.913,-32.66091531585462,110.27348872087587
1743273365.3076203,0.9142800000000001,0.914,-32.69190630462712,110.28690617105808
1743273367.6959314,0.9153000000000001,0.915,-32.59457599408408,110.2372239089217
1743273370.090042,0.91627,0.916,-32.61851203641059,110.20387377094698
1743273372.4812362,0.91727,0.917,-32.69155051792094,110.15432404953582
1743273374.9773293,0.9182800000000001,0.918,-32.63473638698075,110.0209572344565
1743273377.3110654,0.91937,0.919,-32.58391073630409,109.98699433892989
1743273379.7043834,0.9202500000000001,0.92,-32.543783419056226,109.9380122614052
1743273382.0916147,0.92129,0.921,-32.64962907022236,109.90581020493055
1743273384.4746494,0.92227,0.922,-32.71372580342425,110.03065730140908
1743273386.8589184,0.9232800000000001,0.923,-32.61669883531573,109.99760100778872
1743273389.075337,0.9243100000000001,0.924,-32.60370397915261,109.96521840566716
1743273391.3790188,0.92539,0.925,-32.549520107220715,109.93223016270876
1743273393.6991603,0.9262800000000001,0.926,-32.538922192652905,109.88262316290304
1743273396.1957643,0.9273100000000001,0.927,-32.59388229940049,110.02334515619056
1743273398.5467608,0.9282900000000001,0.928,-32.47412014359381,109.97367506475744
1743273400.832218,0.9292800000000001,0.929,-32.64033183318623,109.94022891993689
1743273403.328311,0.9302600000000001,0.93,-32.550196519132875,109.90750011248328
1743273405.6132383,0.9312600000000001,0.931,-32.64531791271332,110.09460699939436
1743273408.107599,0.93227,0.932,-32.543337046790015,110.06157362739964
1743273410.3971083,0.9332600000000001,0.933,-32.54018562283266,110.02821133184169
1743273412.8268888,0.93432,0.934,-32.61431738861859,109.97863297259791
1743273415.2133346,0.9352800000000001,0.935,-32.649406480046714,110.14352963421469
1743273417.7130265,0.93627,0.936,-32.61536001649569,110.0928748059233
1743273419.8942914,0.9372400000000001,0.937,-32.617825493218724,110.05983499310024
1743273422.1870766,0.9382900000000001,0.9380000000000001,-32.65384785429834,110.02696864440486
1743273424.5799656,0.9392600000000001,0.9390000000000001,-32.56637527894401,110.15606700453148
1743273426.9673386,0.94027,0.9400000000000001,-32.564004857463274,110.12255848708011
1743273429.2533727,0.94127,0.9410000000000001,-32.630216644300546,110.0901521989651
1743273431.6388147,0.9422600000000001,0.9420000000000001,-32.58983366122867,110.04026139549477
1743273433.9213095,0.9432600000000001,0.9430000000000001,-32.64181844949911,110.00743369245122
1743273436.3099759,0.9442600000000001,0.9440000000000001,-32.609041375703704,110.1849781028063
1743273438.5904264,0.94525,0.9450000000000001,-32.594498519591916,110.13477049335194
1743273441.0168235,0.9463300000000001,0.9460000000000001,-32.54019545613361,110.10185253599546
1743273443.3234303,0.9473300000000001,0.9470000000000001,-32.59913536794678,110.06908647986023
1743273445.6085846,0.9482600000000001,0.948,-32.70458411133006,109.95408066551772
1743273448.1054838,0.9492600000000001,0.9490000000000001,-32.467877487400045,109.92148947628253
1743273450.3344803,0.9503400000000001,0.95,-32.57571542492943,109.88884384045186
1743273452.7244182,0.9512400000000001,0.9510000000000001,-32.516219782624475,109.83808512710753
1743273455.119779,0.9522600000000001,0.952,-32.486117366681086,109.96097211372121
1743273457.5107205,0.9532600000000001,0.9530000000000001,-32.510674396859926,109.91128842260144
1743273460.005715,0.95425,0.954,-32.557566131208425,109.87779639304773
1743273462.4348795,0.9553100000000001,0.955,-32.508932412702116,109.84565026544409
1743273464.8305762,0.9562700000000001,0.956,-32.69757117989713,110.06150557822924
1743273467.3310745,0.9572700000000001,0.957,-32.58542685251976,110.02786876568501
1743273469.722172,0.9582600000000001,0.958,-32.541027115008774,109.97908231312587
1743273472.117671,0.9592600000000001,0.959,-32.434719894656645,109.94559744296456
1743273474.5029426,0.9602900000000001,0.96,-32.513777548248825,110.08809752203517
1743273476.8860705,0.9612900000000001,0.961,-32.45507274172161,110.05417547043402
1743273479.269336,0.9622700000000001,0.962,-32.467495478558014,110.02116934303456
1743273481.6514106,0.9632900000000001,0.963,-32.493278393585676,109.97263016400932
1743273484.0727026,0.9642900000000001,0.964,-32.54125983646409,109.94002105194183
1743273486.456991,0.9652900000000001,0.965,-32.3386515243992,109.93862858440907
1743273489.0597486,0.9662600000000001,0.966,-32.414278547883555,109.88910611576506
1743273491.3416991,0.9672700000000001,0.967,-32.515312139151355,109.85649060472161
1743273493.7242956,0.96825,0.968,-32.55403716809146,109.80639338154037
1743273496.1477737,0.9693100000000001,0.969,-32.62567157342103,109.87489460237099
1743273498.5387747,0.9702600000000001,0.97,-32.47365768047155,109.82532200916533
